<b></b>,,,<b>Controls (n = 966)</b>,,<b></b>,<b></b>
<b></b>,<b>No.</b>,<b>%</b>,<b>No.</b>,<b>%</b>,<b>OR (95%CI)</b>,"<b>adjOR<sup><a href=""http://www.plosone.org/article/info:doi/10.1371/journal.pone.0227908#t002fn001"" target=""_blank"">*</a></sup> (95%CI)</b>"
<b>Maternal age</b>,,,,,,
<25,38,15.7,158,16.4,1.05 (0.68–1.62),0.66 (0.38–1.14)
25–29,68,28.1,256,26.5,1.16 (0.81–1.67),0.97 (0.64–1.47)
30–34,80,33.1,350,36.2,Ref,Ref
35+,56,23.1,202,20.9,1.21 (0.83–1.78),1.17 (0.77–1.79)
<b>Maternal education</b>,,,,,,
Low (compulsory only),65,26.9,193,20.0,1.63 (1.13–2.34),1.59 (1.02–2.49)
Medium (completed high school),89,36.8,351,36.3,1.22 (0.88–1.70),1.14 (0.77–1.68)
High (tertiary or other higher),86,36.3,421,43.6,Ref,Ref
Missing,1,0.42,1,0.10,,
<b>Socioeconomic Deprivation quintile</b>,,,,,,
1 (most deprived),61,25.2,196,20.3,1.23 (0.78–1.96),1.07 (0.63–1.81)
2,50,20.7,200,20.7,0.99 (0.62–1.60),0.87 (0.52–1.46)
3,39,16.1,212,22.0,0.73 (0.44–1.20),0.62 (0.36–1.06)
4,43,17.8,191,19.8,0.89 (0.55–1.46),0.91 (0.54–1.53)
<b>Previous pregnancy loss</b>,,,,,,
None,160,66.1,627,64.9,Ref,Ref
One,55,22.7,224,23.2,0.96 (0.68–1.35),0.84 (0.56–1.26)
Two,12,4.96,62,6.42,0.76 (0.40–1.44),0.69 (0.34–1.41)
Three or more,7,2.89,25,2.59,1.10 (0.47–2.58),0.81 (0.29–2.30)
Missing,8,3.31,28,2.90,,
<b>Pregnancy Planning</b>,,,,,,
Did not plan to become pregnant,89,36.8,320,33.1,1.17 (0.88–1.58),1.05 (0.70–1.58)
Trying to become pregnant (all other categories),152,62.8,642,66.5,Ref,Ref
Missing,1,0.41,4,0.41,,
<b>Fertility Clinic (if trying longer than year)</b>,,,,,,
Yes,22,59.46,57,50.0,1.45 (0.66–3.19),2.00 (0.39–10.22)
No,13,35.14,49,43.0,Ref,Ref
Missing,2,5.41,8,7.02,,
<b>Pregestational Diabetes</b>,,,,,,
Yes,4,1.65,4,0.41,4.04 (1.00–16.28),NA
No,238,98.4,962,99.6,Ref,
<b>Gestational Diabetes (excl pregestational diabetes)</b>,,,,,,
Yes,12,8.33,36,3.74,1.30 (0.67–2.55),NA
No,202,84.9,790,82.1,Ref,
Missing,24,10.1,136,14.1,,
